                      The alpha separation energy of elements 89 to 118. (Unit: MeV)

Nucl.	        EXP	        LDM	        DZ	        WS4	        FRDM	LDM-lgb	DZ-lgb	WS4-lgb	FRDM-lgb
203Ac	8.382 	8.274 	8.094 	8.513 	8.576 	8.162 	8.168 	8.225 	8.283 
204Ac	8.107 	8.142 	8.428 	8.361 	8.426 	7.996 	8.100 	8.086 	8.165 
205Ac	8.093 	8.014 	8.233 	8.139 	8.216 	8.072 	8.070 	8.086 	8.128 
206Ac	7.958 	7.878 	8.055 	7.980 	7.936 	7.940 	7.947 	7.950 	7.967 
207Ac	7.845 	7.746 	7.892 	7.753 	7.696 	7.831 	7.841 	7.845 	7.854 
208Ac	7.729 	7.606 	7.746 	7.456 	7.306 	7.727 	7.726 	7.716 	7.678 
209Ac	7.730 	7.471 	7.615 	7.412 	7.516 	7.722 	7.726 	7.706 	7.735 
210Ac	7.586 	7.328 	7.503 	7.764 	7.336 	7.605 	7.606 	7.618 	7.607 
211Ac	7.568 	7.190 	7.405 	8.036 	7.416 	7.604 	7.615 	7.618 	7.630 
212Ac	7.540 	7.044 	7.327 	7.826 	7.376 	7.520 	7.504 	7.510 	7.497 
213Ac	7.498 	6.902 	7.262 	7.607 	7.426 	7.504 	7.494 	7.491 	7.473 
214Ac	7.352 	6.753 	7.218 	7.560 	7.406 	7.368 	7.358 	7.341 	7.370 
215Ac	7.746 	6.609 	7.188 	7.699 	7.426 	7.785 	7.740 	7.758 	7.720 
216Ac	9.241 	6.457 	8.801 	8.674 	9.026 	9.175 	9.183 	9.174 	9.211 
217Ac	9.832 	6.310 	10.322 	9.636 	10.026 	9.803 	9.835 	9.854 	9.852 
218Ac	9.384 	6.156 	9.863 	9.444 	9.526 	9.376 	9.394 	9.368 	9.352 
219Ac	8.826 	6.006 	8.865 	9.006 	8.936 	8.810 	8.791 	8.831 	8.833 
220Ac	8.348 	5.850 	7.839 	8.461 	7.776 	8.334 	8.331 	8.347 	8.318 
221Ac	7.791 	5.698 	7.216 	7.894 	7.246 	7.845 	7.780 	7.808 	7.792 
222Ac	7.137 	5.540 	6.858 	7.438 	6.826 	7.192 	7.170 	7.145 	7.167 
223Ac	6.783 	5.386 	6.499 	7.040 	6.486 	6.770 	6.811 	6.791 	6.786 
224Ac	6.327 	5.226 	6.153 	6.517 	6.246 	6.350 	6.370 	6.357 	6.368 
225Ac	5.935 	5.070 	5.806 	5.949 	5.966 	5.939 	5.940 	5.944 	5.934 
226Ac	5.506 	4.908 	5.472 	5.384 	5.686 	5.541 	5.527 	5.534 	5.541 
227Ac	5.042 	4.750 	5.137 	4.872 	5.396 	5.069 	5.056 	5.061 	5.076 
228Ac	4.721 	4.586 	4.817 	4.677 	4.906 	4.706 	4.722 	4.704 	4.700 
229Ac	4.444 	4.426 	4.494 	4.533 	4.426 	4.385 	4.405 	4.437 	4.401 
230Ac	3.893 	4.261 	4.187 	4.172 	3.916 	3.920 	3.915 	3.894 	3.915 
231Ac	3.655 	4.100 	3.876 	3.815 	3.516 	3.650 	3.668 	3.645 	3.644 
232Ac	3.345 	3.934 	3.581 	3.666 	3.406 	3.343 	3.356 	3.344 	3.382 
233Ac	3.215 	3.771 	3.283 	3.554 	3.176 	3.181 	3.214 	3.181 	3.210 
234Ac	2.930 	3.604 	3.000 	3.336 	2.846 	2.889 	2.941 	2.917 	2.920 
235Ac	2.852 	3.440 	2.714 	3.048 	2.626 	2.835 	2.836 	2.878 	2.824 
236Ac	2.723 	3.271 	2.444 	2.753 	2.516 	2.728 	2.715 	2.736 	2.749 
207Th	8.328 	8.299 	8.415 	8.366 	8.206 	8.305 	8.250 	8.322 	8.302 
208Th	8.211 	8.174 	8.261 	8.201 	8.116 	8.214 	8.194 	8.219 	8.257 
210Th	8.069 	7.906 	7.994 	7.868 	7.816 	8.076 	8.071 	8.064 	8.062 
211Th	7.937 	7.764 	7.880 	8.226 	7.666 	7.967 	7.956 	7.967 	7.945 
212Th	7.958 	7.631 	7.791 	8.489 	7.666 	7.999 	7.979 	7.998 	7.949 
213Th	7.837 	7.486 	7.711 	8.164 	7.636 	7.857 	7.846 	7.858 	7.848 
214Th	7.827 	7.350 	7.654 	7.944 	7.706 	7.839 	7.817 	7.812 	7.810 
215Th	7.665 	7.203 	7.608 	7.912 	7.756 	7.665 	7.666 	7.652 	7.706 
216Th	8.072 	7.064 	7.584 	7.949 	7.836 	8.072 	8.074 	8.064 	8.095 
217Th	9.435 	6.913 	9.069 	8.973 	9.276 	9.414 	9.401 	9.410 	9.387 
218Th	9.849 	6.771 	10.472 	9.897 	10.266 	9.826 	9.857 	9.856 	9.872 
219Th	9.506 	6.618 	10.023 	9.667 	9.686 	9.537 	9.531 	9.531 	9.522 
220Th	8.973 	6.474 	9.024 	9.137 	9.046 	8.928 	8.974 	8.972 	8.980 
221Th	8.625 	6.319 	7.961 	8.549 	7.926 	8.615 	8.606 	8.609 	8.610 
222Th	8.133 	6.172 	7.457 	7.986 	7.536 	8.124 	8.110 	8.087 	8.128 
223Th	7.567 	6.014 	7.117 	7.584 	7.166 	7.581 	7.600 	7.590 	7.581 
224Th	7.299 	5.865 	6.785 	7.204 	6.856 	7.295 	7.295 	7.295 	7.295 
225Th	6.921 	5.706 	6.456 	6.667 	6.596 	6.879 	6.871 	6.879 	6.872 
226Th	6.453 	5.555 	6.136 	6.095 	6.356 	6.422 	6.411 	6.433 	6.407 
227Th	6.147 	5.394 	5.818 	5.562 	6.096 	6.104 	6.090 	6.089 	6.108 
228Th	5.520 	5.241 	5.509 	5.169 	5.736 	5.544 	5.528 	5.503 	5.551 
229Th	5.168 	5.078 	5.202 	5.019 	5.286 	5.169 	5.167 	5.155 	5.162 
230Th	4.770 	4.923 	4.904 	4.886 	4.746 	4.769 	4.766 	4.804 	4.780 
231Th	4.213 	4.758 	4.610 	4.488 	4.206 	4.232 	4.225 	4.239 	4.219 
232Th	4.082 	4.602 	4.323 	4.113 	3.976 	4.080 	4.071 	4.064 	4.075 
233Th	3.745 	4.436 	4.040 	4.036 	3.706 	3.755 	3.722 	3.747 	3.752 
234Th	3.672 	4.278 	3.765 	3.978 	3.576 	3.654 	3.670 	3.669 	3.648 
235Th	3.376 	4.111 	3.493 	3.757 	3.336 	3.414 	3.406 	3.384 	3.401 
236Th	3.333 	3.951 	3.230 	3.437 	3.186 	3.330 	3.343 	3.352 	3.356 
237Th	3.196 	3.783 	2.970 	3.136 	2.986 	3.194 	3.230 	3.221 	3.216 
211Pa	8.481 	8.318 	8.349 	8.179 	8.116 	8.432 	8.460 	8.432 	8.437 
212Pa	8.411 	8.182 	8.244 	8.593 	8.096 	8.363 	8.394 	8.410 	8.432 
213Pa	8.384 	8.050 	8.153 	8.802 	8.126 	8.370 	8.378 	8.387 	8.393 
214Pa	8.271 	7.911 	8.081 	8.502 	8.036 	8.246 	8.258 	8.230 	8.234 
215Pa	8.236 	7.776 	8.022 	8.242 	8.116 	8.235 	8.225 	8.225 	8.223 
216Pa	8.099 	7.634 	7.982 	8.314 	8.176 	8.108 	8.122 	8.157 	8.130 
217Pa	8.489 	7.496 	7.956 	8.210 	8.176 	8.493 	8.486 	8.456 	8.482 
218Pa	9.791 	7.351 	9.333 	9.274 	9.556 	9.741 	9.761 	9.768 	9.752 
219Pa	10.128 	7.210 	10.614 	10.144 	10.466 	10.077 	10.144 	10.134 	10.168 
220Pa	9.704 	7.062 	10.184 	9.831 	9.556 	9.659 	9.777 	9.668 	9.575 
221Pa	9.248 	6.919 	9.232 	9.246 	8.896 	9.262 	9.265 	9.246 	9.244 
222Pa	8.789 	6.769 	8.143 	8.678 	8.146 	8.724 	8.695 	8.733 	8.653 
223Pa	8.343 	6.623 	7.688 	8.102 	7.846 	8.315 	8.349 	8.313 	8.336 
224Pa	7.694 	6.470 	7.374 	7.714 	7.476 	7.742 	7.722 	7.741 	7.698 
225Pa	7.401 	6.322 	7.060 	7.309 	7.186 	7.389 	7.416 	7.415 	7.385 
226Pa	6.987 	6.168 	6.757 	6.765 	6.966 	6.968 	6.993 	7.003 	6.994 
227Pa	6.580 	6.017 	6.453 	6.244 	6.766 	6.623 	6.593 	6.607 	6.597 
228Pa	6.265 	5.861 	6.160 	5.796 	6.466 	6.234 	6.225 	6.217 	6.245 
229Pa	5.835 	5.709 	5.866 	5.466 	6.046 	5.843 	5.830 	5.822 	5.842 
230Pa	5.439 	5.551 	5.584 	5.341 	5.546 	5.390 	5.415 	5.395 	5.387 
231Pa	5.150 	5.396 	5.300 	5.184 	5.076 	5.127 	5.140 	5.125 	5.124 
232Pa	4.627 	5.237 	5.029 	4.778 	4.756 	4.630 	4.590 	4.614 	4.648 
233Pa	4.375 	5.081 	4.755 	4.409 	4.326 	4.401 	4.390 	4.348 	4.398 
234Pa	4.076 	4.919 	4.494 	4.362 	4.146 	4.090 	4.076 	4.094 	4.093 
235Pa	4.101 	4.762 	4.230 	4.345 	3.936 	4.062 	4.075 	4.109 	4.071 
236Pa	3.755 	4.599 	3.981 	4.088 	3.786 	3.775 	3.785 	3.764 	3.772 
237Pa	3.795 	4.441 	3.727 	3.733 	3.566 	3.773 	3.774 	3.783 	3.765 
238Pa	3.628 	4.277 	3.489 	3.446 	3.426 	3.636 	3.622 	3.609 	3.604 
214U	8.696 	8.478 	8.523 	9.157 	8.446 	8.731 	8.669 	8.785 	8.759 
215U	8.588 	8.340 	8.449 	8.828 	8.316 	8.607 	8.582 	8.590 	8.570 
216U	8.531 	8.211 	8.396 	8.555 	8.346 	8.507 	8.520 	8.539 	8.515 
218U	8.775 	7.937 	8.333 	8.513 	8.516 	8.796 	8.799 	8.791 	8.806 
219U	9.950 	7.793 	9.600 	9.493 	9.806 	9.895 	9.919 	9.948 	9.915 
221U	9.889 	7.511 	10.359 	9.973 	9.776 	9.844 	9.936 	9.907 	9.910 
222U	9.481 	7.372 	9.513 	9.409 	9.146 	9.465 	9.507 	9.463 	9.464 
223U	9.158 	7.223 	8.392 	8.801 	8.516 	8.925 	8.934 	8.951 	8.930 
224U	8.628 	7.082 	7.936 	8.253 	8.236 	8.622 	8.592 	8.597 	8.604 
225U	8.007 	6.931 	7.639 	7.890 	7.896 	8.013 	8.016 	8.022 	7.997 
226U	7.701 	6.788 	7.351 	7.464 	7.606 	7.680 	7.683 	7.695 	7.665 
227U	7.235 	6.634 	7.064 	6.952 	7.376 	7.207 	7.208 	7.216 	7.214 
228U	6.800 	6.488 	6.785 	6.472 	7.126 	6.817 	6.824 	6.801 	6.853 
